condition_name,exp_selected_item_name,selected_LANDLINE_ONLY,availablity_addon_LANDLINE_ONLY,selected_EVENING_WEEKEND,selected_ANYTIME_LANDLINE_MOBILE,selected_INTERNATIONAL_300,total_addon_cost_paid,exp_likelihoodToTake,demogAge,BB_current_provider,BB_current_plan,BB_current_contract_length,BB_usage_email,BB_usage_browsing,BB_usage_music_podcasts,BB_usage_TV_movies,BB_usage_video_calls,BB_usage_large_files,BB_usage_downloading_games,BB_usage_playing_games,VF_SEG_statements_1,VF_SEG_statements_2,VF_SEG_statements_3,MOB_current_mobile_provider,demogEducation,demogMaritalStatus,VF_SEG_living_arrangements,demogRegion,demogRural_urban,VF_current_landline_service,is_female,demogWorkStatus_2,demogHouseIncome_value_k,demogTotalHHSize,hh_num_under_18,has_children_under_18,is_mobile,BB_price_is_bundled,BB_current_spend_seperate_abs,BB_current_spend_bundled_abs,BB_current_time_with_provider_abs,MOB_current_mobile_plan_type_2,MOB_time_with_current_mobile_provider_abs,VF_SEGMENT,VF_current_landline_usage_bin,willing_to_wait_score
5) Call bundles only,3_Superfast_100,0,0,0,0,0,0,6,58,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Other  ,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,East Midlands,City Suburb,Don't Know,1,Retired,27.5,2,0,0,1,0,28,0,2.5,SIMO,0.75,Sticker,0,3.4
3) LL add-on at £3,4_Pro_superfast_1,0,1,0,0,0,0,5,74,BT,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Never,Occasionally,Never,Never,Never,1  Strongly    Agree ,4  Agree ,4  Agree ,BT Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,Town,Yes,0,Retired,32.5,2,0,0,1,1,0,45,5.833333333,SIMO,5.833333333,Switcher,1,4.2
3) LL add-on at £3,3_Superfast_100,0,1,1,0,0,5,4,74,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Occasionally,Rarely,Never,Never,Never,2  Agree ,3  Neutral ,5  Strongly  Agree ,Other  ,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,North West England,City Suburb,Yes,0,Retired,17.5,1,0,0,0,0,25,0,2,SIMO,2.333333333,Retired singles (>65yrs),1,3.8
3) LL add-on at £3,1_Superfast_1,1,1,0,0,0,3,1,74,Shell Energy Broadband,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Most days,Every day,Occasionally,Occasionally,Never,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,4  Agree ,ID,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,South East England,Town,Yes,0,Retired,32.5,1,0,0,0,0,26,0,0.666666667,SIMO,3.666666667,Sticker,1,3.8
2) LL add-on at £1,5_Pro_superfast_2,0,1,0,1,0,8,7,64,Sky,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Every day,Never,Occasionally,Never,Rarely,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Virgin Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,Village,No,0,Retired,27.5,2,0,0,1,0,21,0,4,PAYM,8,Sticker,0,4
1) LL add-on at £0,2_Superfast_2,1,1,0,0,0,0,1,65,Other,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Occasionally,Never,Never,Rarely,Rarely,Never,Never,2  Agree ,3  Neutral ,3  Neutral ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with other members of my family.,East Midlands,Village,No,0,Full_time,87.5,3,0,0,0,0,15,0,1,SIMO,8,Sticker,0,4.2
3) LL add-on at £3,1_Superfast_1,0,1,0,1,0,8,8,39,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Occasionally,Occasionally,Occasionally,Occasionally,Most days,2  Agree ,1  Strongly    Agree ,4  Agree ,3,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,South East England,Town,Yes,0,Full_time,45,5,3,1,0,1,0,85,4.166666667,PAYM,8.416666667,Sticker,1,3.4
3) LL add-on at £3,7_Pro_ultrafast_200,1,1,0,0,0,3,8,63,John Lewis,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Most days,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Never,2  Agree ,2  Agree ,5  Strongly  Agree ,giffgaff,Vocational certificate,Single,I live alone.,South West England,Village,Yes,1,Unemployed_seeking,1.25,1,0,0,0,0,20,0,0.416666667,SIMO,2,Single empty nester (45-64yrs),1,3.4
0) Baseline,7_Pro_ultrafast_200,0,0,1,0,0,5,7,37,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Most days,Most days,Rarely,Most days,2  Agree ,3  Neutral ,2  Agree ,Voxi,GCSE or equivalent,Widowed / Divorced / Separated,I live with my / my partners children (under 18 years old).,North West England,Town,Yes,1,Full_time,12.5,3,2,1,0,1,0,45,10.08333333,PAYG,3.75,Younger Family (children <=12yrs),0,3.2
0) Baseline,9_Pro_gigafast_900,0,0,0,0,0,0,8,29,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Every day,Most days,Rarely,Rarely,Every day,5  Strongly  Agree ,3  Neutral ,1  Strongly    Agree ,EE,PhD,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,West Midlands,Village,Yes,1,Full_time,37.5,3,1,1,1,1,0,55,3.25,PAYM,5.583333333,Younger Family (children <=12yrs),0,3.8
3) LL add-on at £3,7_Pro_ultrafast_200,0,1,0,1,0,8,0,70,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Most days,Every day,Occasionally,Rarely,Rarely,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,O2,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live with other members of my family.,Yorkshire and the Humber,Town,Yes,1,Retired,27.5,2,0,0,0,0,24,0,11,PAYM,5,Sticker,1,2.6
5) Call bundles only,3_Superfast_100,0,0,0,0,0,0,8,60,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Never,Occasionally,Occasionally,Most days,3  Neutral ,4  Agree ,3  Neutral ,Virgin Mobile,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,North East England,City Centre,No,0,Unemployed_homemaker_student_other,3.75,1,0,0,0,0,28,0,11,PAYM,11,Single empty nester (45-64yrs),0,3.6
0) Baseline,6_Pro_superfast_100,0,0,0,0,0,0,2,43,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Most days,Every day,Occasionally,Every day,Most days,Most days,Never,Never,3  Neutral ,3  Neutral ,3  Neutral ,O2,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,Village,No,1,Full_time,62.5,2,0,0,0,1,0,28,1,SIMO,5.5,Young couples (18-44yrs),0,2.4
0) Baseline,9_Pro_gigafast_900,0,0,0,0,0,0,5,52,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Most days,Occasionally,Occasionally,Every day,4  Agree ,5  Strongly  Agree ,2  Agree ,Vodafone,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,Town,Yes,0,Full_time,45,2,0,0,0,1,0,105,10.41666667,PAYM,4.5,Empty nester couples (45-64yrs),0,4.2
4) LL add-on at £5,8_Pro_ultrafast_500,0,1,0,0,1,5,8,50,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Most days,Every day,Occasionally,Occasionally,Every day,Never,Never,2  Agree ,3  Neutral ,5  Strongly  Agree ,Sky Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Rural,Yes,1,Unemployed_homemaker_student_other,17.5,2,0,0,0,1,0,125,11,PAYM,2,Empty nester couples (45-64yrs),1,2.6
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,7,53,Other,Standard broadband (Up to 17MB/s),My contract expires in less than 3 months,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,1  Strongly    Agree ,5  Strongly  Agree ,1  Strongly    Agree ,Freedom Pop,Vocational certificate,Single,I live alone.,London,Town,No,0,Unemployed_homemaker_student_other,12.5,1,0,0,0,0,20,0,1.5,SIMO,3.833333333,Switcher,0,4.4
5) Call bundles only,2_Superfast_2,0,0,0,0,0,0,6,69,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Every day,Occasionally,Occasionally,Rarely,Rarely,3  Neutral ,3  Neutral ,3  Neutral ,O2,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with other members of my family.,East Midlands,Town,Yes,0,Retired,27.5,3,0,0,0,1,0,105,3.083333333,SIMO,3,Boomerang,1,3.2
2) LL add-on at £1,9_Pro_gigafast_900,0,1,0,0,0,0,6,46,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Every day,Every day,Occasionally,Occasionally,Occasionally,Every day,2  Agree ,3  Neutral ,2  Agree ,Other  ,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,West Midlands,Town,Yes,1,Full_time,37.5,4,2,1,1,1,0,85,11,SIMO,11,Sticker,0,3.6
1) LL add-on at £0,3_Superfast_100,1,1,0,0,0,0,5,44,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 3-6 months,Most days,Every day,Never,Most days,Occasionally,Rarely,Rarely,Rarely,2  Agree ,3  Neutral ,4  Agree ,Smarty,GCSE or equivalent,Single,I live alone.,London,City Centre,Yes,0,Full_time,12.5,1,0,0,1,1,0,36,3.583333333,SIMO,3.583333333,Young singles (18-44yrs),0,4.2
4) LL add-on at £5,3_Superfast_100,0,1,0,0,0,0,5,66,Sky,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Every day,Occasionally,Rarely,Rarely,Occasionally,1  Strongly    Agree ,3  Neutral ,3  Neutral ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,Town,Yes,0,Retired,27.5,2,0,0,0,0,25,0,10.5,SIMO,4.416666667,Retired couples (>65yrs),0,4.6
5) Call bundles only,4_Pro_superfast_1,0,0,0,0,0,0,8,55,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Rarely,Occasionally,Never,Rarely,Rarely,Rarely,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Virgin Mobile,A-level or equivalent,Single,I live alone.,West Midlands,Town,Yes,0,Full_time,62.5,1,0,0,0,1,0,30,11.58333333,SIMO,11.58333333,Switcher,1,4.4
1) LL add-on at £0,1_Superfast_1,0,1,1,0,1,10,7,71,Shell Energy Broadband,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Most days,Every day,Never,Rarely,Most days,Never,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,O2,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,City Suburb,Yes,0,Retired,32.5,2,0,0,0,1,0,32,3,PAYG,11,Sticker,1,3.6
5) Call bundles only,1_Superfast_1,0,0,0,0,0,0,5,61,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Most days,Never,Never,Never,Never,Never,Every day,Every day,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Other  ,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,South West England,Rural,Yes,1,Unemployed_homemaker_student_other,7.5,1,0,0,0,0,25,0,3.5,PAYG,10,Sticker,0,4
4) LL add-on at £5,1_Superfast_1,0,1,0,1,0,8,7,69,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Tesco Mobile,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,1,Retired,27.5,2,0,0,0,0,30,0,10.75,PAYG,8.25,Sticker,1,3.4
2) LL add-on at £1,1_Superfast_1,0,1,0,0,0,0,4,32,Plusnet,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Occasionally,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,3,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,City Centre,No,1,Full_time,12.5,2,0,0,1,0,18,0,1.5,SIMO,1.25,Switcher,0,4.6
1) LL add-on at £0,1_Superfast_1,1,1,0,0,0,0,9,47,NOW Broadband,Standard broadband (Up to 17MB/s),My contract expires in less than 3 months,Every day,Every day,Never,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,1  Strongly    Agree ,5  Strongly  Agree ,3  Neutral ,giffgaff,Vocational certificate,Single,I live alone.,South East England,Village,Yes,0,Part_time,7.5,1,0,0,0,0,18,0,2.75,PAYG,11,Switcher,0,3.2
2) LL add-on at £1,1_Superfast_1,0,1,0,0,0,0,1,67,TalkTalk,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Rarely,Rarely,Rarely,Never,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,1  Strongly    Agree ,Tesco Mobile,GCSE or equivalent,Single,I live alone.,South East England,City Suburb,No,1,Retired,22.5,1,0,0,0,0,27,0,8.833333333,PAYM,5.583333333,Retired singles (>65yrs),0,1.6
0) Baseline,6_Pro_superfast_100,0,0,0,1,0,8,7,51,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Most days,Rarely,Most days,Rarely,Occasionally,Never,Rarely,2  Agree ,2  Agree ,3  Neutral ,Other  ,GCSE or equivalent,Single,I live with my / my partners children (under 18 years old).,Scotland,Town,Yes,0,Full_time,27.5,3,1,1,0,1,0,42,0.5,PAYG,1.333333333,Older Family (min. one child >=13yrs),1,2.4
4) LL add-on at £5,9_Pro_gigafast_900,0,1,0,1,0,8,7,74,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,2  Agree ,2  Agree ,4  Agree ,Virgin Mobile,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,South West England,City Suburb,Yes,0,Retired,45,1,0,0,0,1,0,65,3.333333333,SIMO,3.5,Retired singles (>65yrs),1,4.4
5) Call bundles only,2_Superfast_2,0,0,0,0,0,0,10,68,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,EE,Vocational certificate,Widowed / Divorced / Separated,I live alone.,Yorkshire and the Humber,Village,Yes,0,Retired,7.5,1,0,0,0,0,25,0,2,SIMO,11,Switcher,0,3.4
4) LL add-on at £5,6_Pro_superfast_100,0,1,0,1,0,8,3,71,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Rarely,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Virgin Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Town,Yes,0,Retired,27.5,2,0,0,0,0,20,0,11.83333333,SIMO,8.5,Sticker,1,4
1) LL add-on at £0,6_Pro_superfast_100,0,1,1,0,0,5,7,41,TalkTalk,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Rarely,Occasionally,Rarely,Never,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Tesco Mobile,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live with my partner and we live alone.,North West England,Village,Yes,1,Part_time,27.5,2,0,0,0,0,32,0,9.5,PAYG,11,Sticker,1,3.4
5) Call bundles only,6_Pro_superfast_100,0,0,0,1,0,8,8,33,Sky,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Every day,Every day,Most days,Occasionally,Occasionally,Every day,4  Agree ,3  Neutral ,3  Neutral ,3,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,Wales,Village,Yes,1,Full_time,45,4,2,1,1,1,0,75,10,PAYM,8.166666667,Older Family (min. one child >=13yrs),0,4.4
2) LL add-on at £1,3_Superfast_100,0,1,0,0,0,0,7,53,Plusnet,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Occasionally,Occasionally,Occasionally,Rarely,Never,2  Agree ,3  Neutral ,4  Agree ,Tesco Mobile,Vocational certificate,Single,I live alone.,London,City Centre,Yes,0,Full_time,62.5,1,0,0,0,1,0,30,3.5,SIMO,11,Sticker,1,4.2
0) Baseline,1_Superfast_1,0,0,1,0,0,5,4,59,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in less than 3 months,Most days,Most days,Never,Never,Rarely,Never,Never,Never,2  Agree ,1  Strongly    Agree ,5  Strongly  Agree ,Vodafone,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,0,Full_time,45,2,0,0,0,1,0,70,3.75,SIMO,11,Sticker,1,3.6
3) LL add-on at £3,5_Pro_superfast_2,0,1,0,1,0,8,0,72,Virgin Media,Fibre Broadband (Up to 52Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Most days,Every day,Occasionally,Most days,Every day,1  Strongly    Agree ,2  Agree ,3  Neutral ,Virgin Mobile,Other,Widowed / Divorced / Separated,I live with other members of my family.,London,City Centre,No,1,Retired,22.5,4,0,0,0,1,0,0,11,PAYM,6,Three generations in one home,0,3.2
0) Baseline,1_Superfast_1,0,0,0,1,0,8,10,67,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Never,Every day,Rarely,Rarely,Never,Most days,2  Agree ,3  Neutral ,5  Strongly  Agree ,3,Vocational certificate,Married / Civil Partnership / Living as Married,I live with other members of my family.,Wales,Village,Yes,0,Retired,17.5,3,0,0,0,0,30,0,0.25,PAYG,7.75,Boomerang,1,4.2
0) Baseline,6_Pro_superfast_100,0,0,0,1,0,8,5,66,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Most days,Most days,Never,Never,Rarely,Rarely,Never,Occasionally,1  Strongly    Agree ,1  Strongly    Agree ,1  Strongly    Agree ,Other  ,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,0,Retired,27.5,2,0,0,0,1,0,125,11.91666667,SIMO,2.666666667,Retired couples (>65yrs),1,3.4
1) LL add-on at £0,8_Pro_ultrafast_500,0,1,0,0,0,0,4,56,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Most days,Most days,Occasionally,Never,Never,2  Agree ,2  Agree ,4  Agree ,O2,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,City Suburb,Yes,0,Full_time,87.5,2,0,0,0,1,0,75,11,PAYM,11,Sticker,0,2.4
5) Call bundles only,1_Superfast_1,0,0,0,0,0,0,2,51,Three,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Rarely,Most days,Never,Occasionally,Never,Never,1  Strongly    Agree ,3  Neutral ,4  Agree ,giffgaff,Bachelor or first degree equivalent,Single,I live alone.,North West England,Town,No,0,Full_time,12.5,1,0,0,0,0,26,0,2.166666667,PAYG,2.166666667,Sticker,0,2
0) Baseline,7_Pro_ultrafast_200,0,0,0,0,0,0,3,54,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Every day,Every day,Occasionally,Occasionally,Occasionally,Occasionally,3  Neutral ,3  Neutral ,4  Agree ,Vodafone,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,City Suburb,Yes,0,Full_time,87.5,3,0,0,1,1,0,75,11.91666667,PAYM,11.91666667,Empty nester couples (45-64yrs),1,3.2
2) LL add-on at £1,5_Pro_superfast_2,0,1,0,1,0,8,3,67,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Occasionally,Occasionally,Occasionally,Occasionally,Every day,1  Strongly    Agree ,2  Agree ,2  Agree ,EE,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with other members of my family.,North West England,Town,Yes,0,Retired,27.5,3,0,0,0,1,0,56,1.666666667,SIMO,3.583333333,Boomerang,1,3.8
5) Call bundles only,7_Pro_ultrafast_200,0,0,0,1,1,13,8,74,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Most days,Occasionally,Never,Never,2  Agree ,3  Neutral ,4  Agree ,Vodafone,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,Town,Yes,0,Part_time,62.5,2,0,0,1,1,0,55,2.5,PAYM,10.25,Sticker,1,3.4
5) Call bundles only,3_Superfast_100,0,0,0,0,0,0,2,35,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Most days,Most days,Occasionally,Occasionally,Never,Never,3  Neutral ,2  Agree ,4  Agree ,EE,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,East Midlands,City Centre,No,1,Full_time,62.5,2,0,0,1,1,0,60,3,SIMO,11,Young couples (18-44yrs),0,4.6
3) LL add-on at £3,7_Pro_ultrafast_200,1,1,0,0,0,3,6,70,BT,Standard broadband (Up to 17MB/s),My contract expires in less than 3 months,Every day,Every day,Occasionally,Occasionally,Every day,Rarely,Never,Most days,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Vodafone,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,Rural,Yes,1,Retired,45,2,0,0,1,1,0,26,5,PAYM,7,Switcher,1,3.6
3) LL add-on at £3,8_Pro_ultrafast_500,0,1,0,1,0,8,4,66,EE,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,1  Strongly    Agree ,1  Strongly    Agree ,3  Neutral ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,Wales,Rural,Yes,1,Full_time,62.5,4,2,1,0,1,0,36,11,SIMO,7,Older Family (min. one child >=13yrs),1,3.4
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,6,63,Sky,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Rarely,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,2  Agree ,4  Agree ,Vodafone,Other,Single,I live alone.,South East England,Town,Yes,0,Retired,12.5,1,0,0,1,1,0,85,5,PAYM,8.25,Sticker,1,3.4
4) LL add-on at £5,1_Superfast_1,0,1,0,1,0,8,7,65,Shell Energy Broadband,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Occasionally,Never,Never,Never,3  Neutral ,3  Neutral ,5  Strongly  Agree ,Vodafone,A-level or equivalent,Widowed / Divorced / Separated,I live alone.,South West England,City Centre,Yes,1,Full_time,27.5,1,0,0,1,0,20,0,5.5,PAYG,11,Retired singles (>65yrs),1,4.2
2) LL add-on at £1,8_Pro_ultrafast_500,0,1,0,1,0,8,6,31,Virgin Media,Fibre Broadband (Up to 52Mb/s),I^m not in a contract / My contract has already expired,Every day,Most days,Most days,Most days,Occasionally,Every day,Most days,Most days,3  Neutral ,4  Agree ,5  Strongly  Agree ,Virgin Mobile,GCSE or equivalent,Single,I live alone.,West Midlands,Village,Yes,1,Unemployed_seeking,7.5,2,0,0,0,1,0,35,3.166666667,PAYM,5.333333333,Young singles (18-44yrs),1,1.6
2) LL add-on at £1,6_Pro_superfast_100,0,1,0,1,1,13,8,66,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Never,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,3  Neutral ,Vodafone,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with other members of my family.,South East England,Town,Yes,0,Retired,62.5,3,0,0,0,1,0,43,10.41666667,SIMO,11.83333333,Three generations in one home,1,4.2
0) Baseline,2_Superfast_2,0,0,0,1,0,8,8,68,BT,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Occasionally,Rarely,Rarely,Never,Occasionally,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Virgin Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,Town,Yes,1,Retired,62.5,2,0,0,0,0,30,0,8.25,PAYM,8.166666667,Sticker,1,4.2
3) LL add-on at £3,4_Pro_superfast_1,0,1,1,0,0,5,8,41,TalkTalk,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Most days,Every day,Most days,Never,Never,3  Neutral ,2  Agree ,3  Neutral ,EE,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Rural,Yes,1,Full_time,225,2,0,0,1,1,0,20,1.5,PAYM,11,Young couples (18-44yrs),1,3.4
3) LL add-on at £3,7_Pro_ultrafast_200,0,1,0,1,0,8,6,40,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Most days,3  Neutral ,4  Agree ,4  Agree ,EE,GCSE or equivalent,Single,I live with other members of my family.,West Midlands,Village,Yes,0,Part_time,1.25,3,0,0,0,1,0,50,11.41666667,PAYM,10.5,Parents move-in,1,2
5) Call bundles only,3_Superfast_100,0,0,0,0,0,0,6,29,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Every day,Most days,Occasionally,Never,Never,2  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,O2,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Town,Yes,1,Full_time,62.5,2,0,0,1,0,28,0,3,PAYM,11,Switcher,0,3
